Date, Time, Height in MM
02/10/2015, 11:13:28, 834
02/10/2015, 11:13:29, 834
02/10/2015, 11:13:31, 834
02/10/2015, 11:13:33, 834
02/10/2015, 11:13:35, 834
02/10/2015, 11:13:36, 834
02/10/2015, 11:13:38, 834
02/10/2015, 11:13:40, 833
02/10/2015, 11:13:42, 833
02/10/2015, 11:13:44, 833
02/10/2015, 11:13:45, 833
02/10/2015, 11:13:47, 833
02/10/2015, 11:13:49, 833
02/10/2015, 11:13:51, 833
02/10/2015, 11:13:52, 833
02/10/2015, 11:13:54, 833
02/10/2015, 11:13:56, 833
02/10/2015, 11:13:58, 833
02/10/2015, 11:13:59, 834
02/10/2015, 11:14:01, 833
02/10/2015, 11:14:03, 833
02/10/2015, 11:14:05, 833
02/10/2015, 11:14:07, 833
02/10/2015, 11:14:08, 833
02/10/2015, 11:14:10, 833
02/10/2015, 11:14:12, 833
02/10/2015, 11:14:14, 833
02/10/2015, 11:14:15, 833
02/10/2015, 11:14:17, 833
02/10/2015, 11:14:19, 834
02/10/2015, 11:14:21, 834
02/10/2015, 11:14:22, 834
02/10/2015, 11:14:24, 834
02/10/2015, 11:14:26, 834
02/10/2015, 11:14:28, 834
02/10/2015, 11:14:29, 834
02/10/2015, 11:14:31, 834
02/10/2015, 11:14:33, 834
02/10/2015, 11:14:35, 834
02/10/2015, 11:14:37, 834
02/10/2015, 11:14:38, 834
02/10/2015, 11:14:40, 834
02/10/2015, 11:14:42, 834
02/10/2015, 11:14:44, 834
02/10/2015, 11:14:45, 834
02/10/2015, 11:14:47, 834
02/10/2015, 11:14:49, 834
02/10/2015, 11:14:51, 834
02/10/2015, 11:14:52, 834
02/10/2015, 11:14:54, 834
02/10/2015, 11:14:56, 834
02/10/2015, 11:14:58, 834
02/10/2015, 11:15:00, 834
02/10/2015, 11:15:01, 834
02/10/2015, 11:15:03, 834
02/10/2015, 11:15:05, 834
02/10/2015, 11:15:07, 834
02/10/2015, 11:15:08, 834
02/10/2015, 11:15:10, 834
02/10/2015, 11:15:12, 834
02/10/2015, 11:15:14, 834
02/10/2015, 11:15:15, 834
02/10/2015, 11:15:17, 834
02/10/2015, 11:15:19, 834
02/10/2015, 11:15:21, 834
02/10/2015, 11:15:23, 834
02/10/2015, 11:15:24, 834
02/10/2015, 11:15:26, 834
02/10/2015, 11:15:28, 834
02/10/2015, 11:15:30, 834
02/10/2015, 11:15:31, 834
02/10/2015, 11:15:33, 834
02/10/2015, 11:15:35, 834
02/10/2015, 11:15:37, 834
02/10/2015, 11:15:38, 834
02/10/2015, 11:15:40, 834
02/10/2015, 11:15:42, 834
02/10/2015, 11:15:44, 834
02/10/2015, 11:15:45, 834
02/10/2015, 11:15:47, 834
02/10/2015, 11:15:49, 834
02/10/2015, 11:15:51, 834
02/10/2015, 11:15:53, 834
02/10/2015, 11:15:54, 834
02/10/2015, 11:15:56, 834
02/10/2015, 11:15:58, 834
02/10/2015, 11:16:00, 834
02/10/2015, 11:16:01, 834
02/10/2015, 11:16:03, 834
02/10/2015, 11:16:05, 834
02/10/2015, 11:16:07, 833
02/10/2015, 11:16:08, 833
02/10/2015, 11:16:10, 834
02/10/2015, 11:16:12, 833
02/10/2015, 11:16:14, 833
02/10/2015, 11:16:16, 833
02/10/2015, 11:16:17, 834
02/10/2015, 11:16:19, 834
02/10/2015, 11:16:21, 834
02/10/2015, 11:16:23, 834
02/10/2015, 11:16:24, 834
02/10/2015, 11:16:26, 834
02/10/2015, 11:16:28, 834
02/10/2015, 11:16:30, 835
02/10/2015, 11:16:31, 835
02/10/2015, 11:16:33, 835
02/10/2015, 11:16:35, 835
02/10/2015, 11:16:37, 834
02/10/2015, 11:16:38, 835
02/10/2015, 11:16:40, 834
02/10/2015, 11:16:42, 834
02/10/2015, 11:16:44, 834
02/10/2015, 11:16:46, 834
02/10/2015, 11:16:47, 834
02/10/2015, 11:16:49, 834
02/10/2015, 11:16:51, 834
02/10/2015, 11:16:53, 834
02/10/2015, 11:16:54, 834
02/10/2015, 11:16:56, 834
02/10/2015, 11:16:58, 834
02/10/2015, 11:17:00, 834
02/10/2015, 11:17:01, 834
02/10/2015, 11:17:03, 834
02/10/2015, 11:17:05, 834
02/10/2015, 11:17:07, 834
02/10/2015, 11:17:09, 834
02/10/2015, 11:17:10, 834
02/10/2015, 11:17:12, 834
02/10/2015, 11:17:14, 835
02/10/2015, 11:17:16, 834
02/10/2015, 11:17:17, 835
02/10/2015, 11:17:19, 835
02/10/2015, 11:17:21, 835
02/10/2015, 11:17:23, 835
02/10/2015, 11:17:24, 835
02/10/2015, 11:17:26, 835
02/10/2015, 11:17:28, 835
02/10/2015, 11:17:30, 835
02/10/2015, 11:17:31, 834
02/10/2015, 11:17:33, 834
02/10/2015, 11:17:35, 834
02/10/2015, 11:17:37, 834
02/10/2015, 11:17:39, 834
02/10/2015, 11:17:40, 834
02/10/2015, 11:17:42, 834
02/10/2015, 11:17:44, 834
02/10/2015, 11:17:46, 834
02/10/2015, 11:17:47, 833
02/10/2015, 11:17:49, 834
02/10/2015, 11:17:51, 834
02/10/2015, 11:17:53, 834
02/10/2015, 11:17:54, 834
02/10/2015, 11:17:56, 834
02/10/2015, 11:17:58, 835
02/10/2015, 11:18:00, 835
02/10/2015, 11:18:02, 834
02/10/2015, 11:18:03, 834
02/10/2015, 11:18:05, 835
02/10/2015, 11:18:07, 835
02/10/2015, 11:18:09, 834
02/10/2015, 11:18:10, 834
02/10/2015, 11:18:12, 835
02/10/2015, 11:18:14, 835
02/10/2015, 11:18:16, 834
02/10/2015, 11:18:17, 834
02/10/2015, 11:18:19, 834
02/10/2015, 11:18:21, 834
02/10/2015, 11:18:23, 834
02/10/2015, 11:18:25, 834
02/10/2015, 11:18:26, 833
02/10/2015, 11:18:28, 834
02/10/2015, 11:18:30, 834
02/10/2015, 11:18:32, 834
02/10/2015, 11:18:33, 834
02/10/2015, 11:18:35, 834
02/10/2015, 11:18:37, 834
02/10/2015, 11:18:39, 834
02/10/2015, 11:18:40, 834
02/10/2015, 11:18:42, 834
02/10/2015, 11:18:44, 834
02/10/2015, 11:18:46, 834
02/10/2015, 11:18:47, 834
02/10/2015, 11:18:49, 834
02/10/2015, 11:18:51, 834
02/10/2015, 11:18:53, 834
02/10/2015, 11:18:55, 833
02/10/2015, 11:18:56, 834
02/10/2015, 11:18:58, 834
02/10/2015, 11:19:00, 834
02/10/2015, 11:19:02, 835
02/10/2015, 11:19:03, 835
02/10/2015, 11:19:05, 835
02/10/2015, 11:19:07, 835
02/10/2015, 11:19:09, 835
02/10/2015, 11:19:10, 834
02/10/2015, 11:19:12, 834
02/10/2015, 11:19:14, 834
02/10/2015, 11:19:16, 834
02/10/2015, 11:19:18, 834
02/10/2015, 11:19:19, 834
02/10/2015, 11:19:21, 834
02/10/2015, 11:19:23, 834
02/10/2015, 11:19:25, 834
02/10/2015, 11:19:26, 835
02/10/2015, 11:19:28, 835
02/10/2015, 11:19:30, 834
02/10/2015, 11:19:32, 835
02/10/2015, 11:19:33, 835
02/10/2015, 11:19:35, 835
02/10/2015, 11:19:37, 835
02/10/2015, 11:19:39, 835
02/10/2015, 11:19:40, 835
02/10/2015, 11:19:42, 835
02/10/2015, 11:19:44, 834
02/10/2015, 11:19:46, 834
02/10/2015, 11:19:48, 834
02/10/2015, 11:19:49, 834
02/10/2015, 11:19:51, 834
02/10/2015, 11:19:53, 834
02/10/2015, 11:19:55, 834
02/10/2015, 11:19:56, 834
02/10/2015, 11:19:58, 834
02/10/2015, 11:20:00, 834
02/10/2015, 11:20:02, 835
02/10/2015, 11:20:03, 834
02/10/2015, 11:20:05, 834
02/10/2015, 11:20:07, 834
02/10/2015, 11:20:09, 834
02/10/2015, 11:20:11, 834
02/10/2015, 11:20:12, 834
02/10/2015, 11:20:14, 834
02/10/2015, 11:20:16, 834
02/10/2015, 11:20:18, 834
02/10/2015, 11:20:19, 834
02/10/2015, 11:20:21, 834
02/10/2015, 11:20:23, 834
02/10/2015, 11:20:25, 834
02/10/2015, 11:20:26, 834
02/10/2015, 11:20:28, 834
02/10/2015, 11:20:30, 834
02/10/2015, 11:20:32, 834
02/10/2015, 11:20:33, 834
02/10/2015, 11:20:35, 834
02/10/2015, 11:20:37, 834
02/10/2015, 11:20:39, 834
02/10/2015, 11:20:41, 834
02/10/2015, 11:20:42, 834
02/10/2015, 11:20:44, 834
02/10/2015, 11:20:46, 834
02/10/2015, 11:20:48, 834
02/10/2015, 11:20:49, 834
02/10/2015, 11:20:51, 834
02/10/2015, 11:20:53, 834
02/10/2015, 11:20:55, 834
02/10/2015, 11:20:56, 834
02/10/2015, 11:20:58, 834
02/10/2015, 11:21:00, 834
02/10/2015, 11:21:02, 834
02/10/2015, 11:21:04, 834
02/10/2015, 11:21:05, 834
02/10/2015, 11:21:07, 834
02/10/2015, 11:21:09, 834
02/10/2015, 11:21:11, 834
02/10/2015, 11:21:12, 835
02/10/2015, 11:21:14, 835
02/10/2015, 11:21:16, 835
02/10/2015, 11:21:18, 835
02/10/2015, 11:21:19, 835
02/10/2015, 11:21:21, 835
02/10/2015, 11:21:23, 836
02/10/2015, 11:21:25, 835
02/10/2015, 11:21:27, 836
02/10/2015, 11:21:28, 835
02/10/2015, 11:21:30, 835
02/10/2015, 11:21:32, 835
02/10/2015, 11:21:34, 835
02/10/2015, 11:21:35, 835
02/10/2015, 11:21:37, 835
02/10/2015, 11:21:39, 835
02/10/2015, 11:21:41, 835
02/10/2015, 11:21:42, 835
02/10/2015, 11:21:44, 835
02/10/2015, 11:21:46, 835
02/10/2015, 11:21:48, 835
02/10/2015, 11:21:49, 835
02/10/2015, 11:21:51, 835
02/10/2015, 11:21:53, 835
02/10/2015, 11:21:55, 835
02/10/2015, 11:21:57, 835
02/10/2015, 11:21:58, 835
02/10/2015, 11:22:00, 835
02/10/2015, 11:22:02, 835
02/10/2015, 11:22:04, 835
02/10/2015, 11:22:05, 836
02/10/2015, 11:22:07, 836
02/10/2015, 11:22:09, 836
02/10/2015, 11:22:11, 836
02/10/2015, 11:22:12, 835
02/10/2015, 11:22:14, 835
02/10/2015, 11:22:16, 835
02/10/2015, 11:22:18, 835
02/10/2015, 11:22:20, 835
02/10/2015, 11:22:21, 835
02/10/2015, 11:22:23, 836
02/10/2015, 11:22:25, 836
02/10/2015, 11:22:27, 836
02/10/2015, 11:22:28, 836
02/10/2015, 11:22:30, 836
02/10/2015, 11:22:32, 836
02/10/2015, 11:22:34, 837
02/10/2015, 11:22:35, 837
02/10/2015, 11:22:37, 837
02/10/2015, 11:22:39, 837
02/10/2015, 11:22:41, 837
02/10/2015, 11:22:42, 837
02/10/2015, 11:22:44, 837
02/10/2015, 11:22:46, 836
02/10/2015, 11:22:48, 837
02/10/2015, 11:22:50, 836
02/10/2015, 11:22:51, 837
02/10/2015, 11:22:53, 837
02/10/2015, 11:22:55, 837
02/10/2015, 11:22:57, 837
02/10/2015, 11:22:58, 837
02/10/2015, 11:23:00, 837
