Date, Time, Height in MM
02/10/2015, 11:23:02, 837
02/10/2015, 11:23:04, 837
02/10/2015, 11:23:05, 838
02/10/2015, 11:23:07, 837
02/10/2015, 11:23:09, 837
02/10/2015, 11:23:11, 837
02/10/2015, 11:23:13, 838
02/10/2015, 11:23:14, 838
02/10/2015, 11:23:16, 838
02/10/2015, 11:23:18, 837
02/10/2015, 11:23:20, 838
02/10/2015, 11:23:21, 837
02/10/2015, 11:23:23, 837
02/10/2015, 11:23:25, 837
02/10/2015, 11:23:27, 837
02/10/2015, 11:23:28, 837
02/10/2015, 11:23:30, 837
02/10/2015, 11:23:32, 837
02/10/2015, 11:23:34, 837
02/10/2015, 11:23:35, 836
02/10/2015, 11:23:37, 837
02/10/2015, 11:23:39, 837
02/10/2015, 11:23:41, 837
02/10/2015, 11:23:43, 837
02/10/2015, 11:23:44, 837
02/10/2015, 11:23:46, 837
02/10/2015, 11:23:48, 837
02/10/2015, 11:23:50, 837
02/10/2015, 11:23:51, 837
02/10/2015, 11:23:53, 837
02/10/2015, 11:23:55, 837
02/10/2015, 11:23:57, 837
02/10/2015, 11:23:58, 837
02/10/2015, 11:24:00, 837
02/10/2015, 11:24:02, 837
02/10/2015, 11:24:04, 837
02/10/2015, 11:24:06, 837
02/10/2015, 11:24:07, 837
02/10/2015, 11:24:09, 837
02/10/2015, 11:24:11, 837
02/10/2015, 11:24:13, 837
02/10/2015, 11:24:14, 837
02/10/2015, 11:24:16, 837
02/10/2015, 11:24:18, 837
02/10/2015, 11:24:20, 837
02/10/2015, 11:24:21, 837
02/10/2015, 11:24:23, 837
02/10/2015, 11:24:25, 837
02/10/2015, 11:24:27, 837
02/10/2015, 11:24:28, 837
02/10/2015, 11:24:30, 837
02/10/2015, 11:24:32, 837
02/10/2015, 11:24:34, 837
02/10/2015, 11:24:36, 837
02/10/2015, 11:24:37, 838
02/10/2015, 11:24:39, 837
02/10/2015, 11:24:41, 837
02/10/2015, 11:24:43, 837
02/10/2015, 11:24:44, 838
02/10/2015, 11:24:46, 837
02/10/2015, 11:24:48, 837
02/10/2015, 11:24:50, 837
02/10/2015, 11:24:51, 837
02/10/2015, 11:24:53, 837
02/10/2015, 11:24:55, 837
02/10/2015, 11:24:57, 837
02/10/2015, 11:24:59, 837
02/10/2015, 11:25:00, 836
02/10/2015, 11:25:02, 836
02/10/2015, 11:25:04, 836
02/10/2015, 11:25:06, 837
02/10/2015, 11:25:07, 837
02/10/2015, 11:25:09, 837
02/10/2015, 11:25:11, 837
02/10/2015, 11:25:13, 837
02/10/2015, 11:25:14, 837
02/10/2015, 11:25:16, 837
02/10/2015, 11:25:18, 837
02/10/2015, 11:25:20, 837
02/10/2015, 11:25:21, 837
02/10/2015, 11:25:23, 837
02/10/2015, 11:25:25, 837
02/10/2015, 11:25:27, 837
02/10/2015, 11:25:29, 837
02/10/2015, 11:25:30, 837
02/10/2015, 11:25:32, 837
02/10/2015, 11:25:34, 837
02/10/2015, 11:25:36, 837
02/10/2015, 11:25:37, 837
02/10/2015, 11:25:39, 837
02/10/2015, 11:25:41, 837
02/10/2015, 11:25:43, 837
02/10/2015, 11:25:44, 837
02/10/2015, 11:25:46, 837
02/10/2015, 11:25:48, 837
02/10/2015, 11:25:50, 837
02/10/2015, 11:25:52, 837
02/10/2015, 11:25:53, 837
02/10/2015, 11:25:55, 837
02/10/2015, 11:25:57, 836
02/10/2015, 11:25:59, 836
02/10/2015, 11:26:00, 836
02/10/2015, 11:26:02, 837
02/10/2015, 11:26:04, 837
02/10/2015, 11:26:06, 837
02/10/2015, 11:26:07, 837
02/10/2015, 11:26:09, 837
02/10/2015, 11:26:11, 837
02/10/2015, 11:26:13, 837
02/10/2015, 11:26:15, 837
02/10/2015, 11:26:16, 838
02/10/2015, 11:26:18, 837
02/10/2015, 11:26:20, 837
02/10/2015, 11:26:22, 837
02/10/2015, 11:26:23, 837
02/10/2015, 11:26:25, 837
02/10/2015, 11:26:27, 837
02/10/2015, 11:26:29, 837
02/10/2015, 11:26:30, 837
02/10/2015, 11:26:32, 837
02/10/2015, 11:26:34, 837
02/10/2015, 11:26:36, 837
02/10/2015, 11:26:37, 837
02/10/2015, 11:26:39, 837
02/10/2015, 11:26:41, 838
02/10/2015, 11:26:43, 837
02/10/2015, 11:26:45, 837
02/10/2015, 11:26:46, 837
02/10/2015, 11:26:48, 837
02/10/2015, 11:26:50, 837
02/10/2015, 11:26:52, 837
02/10/2015, 11:26:53, 837
02/10/2015, 11:26:55, 837
02/10/2015, 11:26:57, 837
02/10/2015, 11:26:59, 837
02/10/2015, 11:27:00, 837
02/10/2015, 11:27:02, 837
02/10/2015, 11:27:04, 837
02/10/2015, 11:27:06, 837
02/10/2015, 11:27:08, 837
02/10/2015, 11:27:09, 837
02/10/2015, 11:27:11, 837
02/10/2015, 11:27:13, 837
02/10/2015, 11:27:15, 837
02/10/2015, 11:27:16, 837
02/10/2015, 11:27:18, 837
02/10/2015, 11:27:20, 837
02/10/2015, 11:27:22, 837
02/10/2015, 11:27:23, 837
02/10/2015, 11:27:25, 837
02/10/2015, 11:27:27, 837
02/10/2015, 11:27:29, 837
02/10/2015, 11:27:30, 837
02/10/2015, 11:27:32, 837
02/10/2015, 11:27:34, 837
02/10/2015, 11:27:36, 837
02/10/2015, 11:27:38, 837
02/10/2015, 11:27:39, 837
02/10/2015, 11:27:41, 837
02/10/2015, 11:27:43, 837
02/10/2015, 11:27:45, 837
02/10/2015, 11:27:46, 837
02/10/2015, 11:27:48, 838
02/10/2015, 11:27:50, 838
02/10/2015, 11:27:52, 838
02/10/2015, 11:27:53, 837
02/10/2015, 11:27:55, 838
02/10/2015, 11:27:57, 837
02/10/2015, 11:27:59, 838
02/10/2015, 11:28:01, 838
02/10/2015, 11:28:02, 838
02/10/2015, 11:28:04, 838
02/10/2015, 11:28:06, 838
02/10/2015, 11:28:08, 838
02/10/2015, 11:28:09, 838
02/10/2015, 11:28:11, 837
02/10/2015, 11:28:13, 837
02/10/2015, 11:28:15, 837
02/10/2015, 11:28:16, 837
02/10/2015, 11:28:18, 837
02/10/2015, 11:28:20, 837
02/10/2015, 11:28:22, 837
02/10/2015, 11:28:23, 837
02/10/2015, 11:28:25, 837
02/10/2015, 11:28:27, 837
02/10/2015, 11:28:29, 837
02/10/2015, 11:28:31, 837
02/10/2015, 11:28:32, 837
02/10/2015, 11:28:34, 837
02/10/2015, 11:28:36, 837
02/10/2015, 11:28:38, 837
02/10/2015, 11:28:39, 837
02/10/2015, 11:28:41, 837
02/10/2015, 11:28:43, 837
02/10/2015, 11:28:45, 837
02/10/2015, 11:28:46, 837
02/10/2015, 11:28:48, 837
02/10/2015, 11:28:50, 837
02/10/2015, 11:28:52, 837
02/10/2015, 11:28:54, 837
02/10/2015, 11:28:55, 837
02/10/2015, 11:28:57, 837
02/10/2015, 11:28:59, 838
02/10/2015, 11:29:01, 838
02/10/2015, 11:29:02, 837
02/10/2015, 11:29:04, 838
02/10/2015, 11:29:06, 838
02/10/2015, 11:29:08, 837
02/10/2015, 11:29:09, 837
02/10/2015, 11:29:11, 837
02/10/2015, 11:29:13, 838
02/10/2015, 11:29:15, 837
02/10/2015, 11:29:16, 838
02/10/2015, 11:29:18, 838
02/10/2015, 11:29:20, 838
02/10/2015, 11:29:22, 838
02/10/2015, 11:29:24, 838
02/10/2015, 11:29:25, 838
02/10/2015, 11:29:27, 838
02/10/2015, 11:29:29, 838
02/10/2015, 11:29:31, 838
02/10/2015, 11:29:32, 837
02/10/2015, 11:29:34, 837
02/10/2015, 11:29:36, 837
02/10/2015, 11:29:38, 838
02/10/2015, 11:29:39, 838
02/10/2015, 11:29:41, 838
02/10/2015, 11:29:43, 838
02/10/2015, 11:29:45, 838
02/10/2015, 11:29:47, 838
02/10/2015, 11:29:48, 838
02/10/2015, 11:29:50, 838
02/10/2015, 11:29:52, 838
02/10/2015, 11:29:54, 838
02/10/2015, 11:29:55, 838
02/10/2015, 11:29:57, 838
02/10/2015, 11:29:59, 838
02/10/2015, 11:30:01, 838
02/10/2015, 11:30:02, 838
02/10/2015, 11:30:04, 838
02/10/2015, 11:30:06, 838
02/10/2015, 11:30:08, 838
02/10/2015, 11:30:09, 838
02/10/2015, 11:30:11, 837
02/10/2015, 11:30:13, 837
02/10/2015, 11:30:15, 837
02/10/2015, 11:30:17, 838
02/10/2015, 11:30:18, 838
02/10/2015, 11:30:20, 838
02/10/2015, 11:30:22, 838
02/10/2015, 11:30:24, 838
02/10/2015, 11:30:25, 838
02/10/2015, 11:30:27, 838
02/10/2015, 11:30:29, 837
02/10/2015, 11:30:31, 837
02/10/2015, 11:30:32, 837
02/10/2015, 11:30:34, 837
02/10/2015, 11:30:36, 837
02/10/2015, 11:30:38, 838
02/10/2015, 11:30:40, 838
02/10/2015, 11:30:41, 838
02/10/2015, 11:30:43, 837
02/10/2015, 11:30:45, 838
02/10/2015, 11:30:47, 838
02/10/2015, 11:30:48, 838
02/10/2015, 11:30:50, 837
02/10/2015, 11:30:52, 837
02/10/2015, 11:30:54, 837
02/10/2015, 11:30:55, 837
02/10/2015, 11:30:57, 837
02/10/2015, 11:30:59, 837
02/10/2015, 11:31:01, 837
02/10/2015, 11:31:02, 837
02/10/2015, 11:31:04, 837
02/10/2015, 11:31:06, 838
02/10/2015, 11:31:08, 838
02/10/2015, 11:31:10, 838
02/10/2015, 11:31:11, 838
02/10/2015, 11:31:13, 838
02/10/2015, 11:31:15, 838
02/10/2015, 11:31:17, 838
02/10/2015, 11:31:18, 838
02/10/2015, 11:31:20, 838
02/10/2015, 11:31:22, 838
02/10/2015, 11:31:24, 838
02/10/2015, 11:31:25, 837
02/10/2015, 11:31:27, 838
02/10/2015, 11:31:29, 837
02/10/2015, 11:31:31, 837
02/10/2015, 11:31:33, 837
02/10/2015, 11:31:34, 838
02/10/2015, 11:31:36, 837
02/10/2015, 11:31:38, 838
02/10/2015, 11:31:40, 838
02/10/2015, 11:31:41, 838
02/10/2015, 11:31:43, 837
02/10/2015, 11:31:45, 837
02/10/2015, 11:31:47, 837
02/10/2015, 11:31:48, 838
02/10/2015, 11:31:50, 837
02/10/2015, 11:31:52, 837
02/10/2015, 11:31:54, 837
02/10/2015, 11:31:55, 838
02/10/2015, 11:31:57, 838
02/10/2015, 11:31:59, 838
02/10/2015, 11:32:01, 838
02/10/2015, 11:32:03, 838
02/10/2015, 11:32:04, 838
02/10/2015, 11:32:06, 838
02/10/2015, 11:32:08, 838
02/10/2015, 11:32:10, 838
02/10/2015, 11:32:11, 838
02/10/2015, 11:32:13, 838
02/10/2015, 11:32:15, 837
02/10/2015, 11:32:17, 838
02/10/2015, 11:32:18, 838
02/10/2015, 11:32:20, 838
02/10/2015, 11:32:22, 838
02/10/2015, 11:32:24, 838
02/10/2015, 11:32:26, 837
02/10/2015, 11:32:27, 838
02/10/2015, 11:32:29, 837
02/10/2015, 11:32:31, 838
02/10/2015, 11:32:33, 838
02/10/2015, 11:32:34, 838
02/10/2015, 11:32:36, 838
02/10/2015, 11:32:38, 838
02/10/2015, 11:32:40, 837
02/10/2015, 11:32:41, 838
02/10/2015, 11:32:43, 837
02/10/2015, 11:32:45, 837
02/10/2015, 11:32:47, 837
02/10/2015, 11:32:48, 837
02/10/2015, 11:32:50, 837
02/10/2015, 11:32:52, 837
02/10/2015, 11:32:54, 837
02/10/2015, 11:32:56, 837
02/10/2015, 11:32:57, 837
02/10/2015, 11:32:59, 837
02/10/2015, 11:33:01, 837
02/10/2015, 11:33:03, 837
02/10/2015, 11:33:04, 837
02/10/2015, 11:33:06, 837
02/10/2015, 11:33:08, 837
02/10/2015, 11:33:10, 837
02/10/2015, 11:33:11, 837
02/10/2015, 11:33:13, 837
02/10/2015, 11:33:15, 837
02/10/2015, 11:33:17, 837
02/10/2015, 11:33:19, 837
02/10/2015, 11:33:20, 837
02/10/2015, 11:33:22, 837
02/10/2015, 11:33:24, 837
02/10/2015, 11:33:26, 837
02/10/2015, 11:33:27, 837
02/10/2015, 11:33:29, 837
02/10/2015, 11:33:31, 837
02/10/2015, 11:33:33, 837
02/10/2015, 11:33:34, 837
02/10/2015, 11:33:36, 837
02/10/2015, 11:33:38, 837
02/10/2015, 11:33:40, 838
02/10/2015, 11:33:42, 838
02/10/2015, 11:33:43, 838
02/10/2015, 11:33:45, 838
02/10/2015, 11:33:47, 837
02/10/2015, 11:33:49, 837
02/10/2015, 11:33:50, 837
02/10/2015, 11:33:52, 837
02/10/2015, 11:33:54, 837
02/10/2015, 11:33:56, 837
02/10/2015, 11:33:57, 837
02/10/2015, 11:33:59, 837
02/10/2015, 11:34:01, 837
02/10/2015, 11:34:03, 837
02/10/2015, 11:34:04, 837
02/10/2015, 11:34:06, 837
02/10/2015, 11:34:08, 837
02/10/2015, 11:34:10, 838
02/10/2015, 11:34:12, 838
02/10/2015, 11:34:13, 838
02/10/2015, 11:34:15, 837
02/10/2015, 11:34:17, 838
02/10/2015, 11:34:19, 838
02/10/2015, 11:34:20, 838
02/10/2015, 11:34:22, 837
02/10/2015, 11:34:24, 838
02/10/2015, 11:34:26, 838
02/10/2015, 11:34:27, 837
02/10/2015, 11:34:29, 837
02/10/2015, 11:34:31, 837
02/10/2015, 11:34:33, 837
02/10/2015, 11:34:35, 837
02/10/2015, 11:34:36, 837
02/10/2015, 11:34:38, 837
02/10/2015, 11:34:40, 837
02/10/2015, 11:34:42, 837
02/10/2015, 11:34:43, 837
02/10/2015, 11:34:45, 837
02/10/2015, 11:34:47, 838
02/10/2015, 11:34:49, 838
02/10/2015, 11:34:50, 838
02/10/2015, 11:34:52, 838
02/10/2015, 11:34:54, 838
02/10/2015, 11:34:56, 838
02/10/2015, 11:34:57, 837
02/10/2015, 11:34:59, 837
02/10/2015, 11:35:01, 837
02/10/2015, 11:35:03, 837
02/10/2015, 11:35:05, 837
02/10/2015, 11:35:06, 837
02/10/2015, 11:35:08, 837
02/10/2015, 11:35:10, 837
02/10/2015, 11:35:12, 837
02/10/2015, 11:35:13, 837
02/10/2015, 11:35:15, 837
02/10/2015, 11:35:17, 837
02/10/2015, 11:35:19, 838
02/10/2015, 11:35:20, 838
02/10/2015, 11:35:22, 838
02/10/2015, 11:35:24, 838
02/10/2015, 11:35:26, 838
02/10/2015, 11:35:28, 838
02/10/2015, 11:35:29, 838
02/10/2015, 11:35:31, 838
02/10/2015, 11:35:33, 838
02/10/2015, 11:35:35, 838
02/10/2015, 11:35:36, 838
02/10/2015, 11:35:38, 838
02/10/2015, 11:35:40, 837
02/10/2015, 11:35:42, 837
02/10/2015, 11:35:43, 837
02/10/2015, 11:35:45, 837
02/10/2015, 11:35:47, 837
02/10/2015, 11:35:49, 837
02/10/2015, 11:35:50, 837
02/10/2015, 11:35:52, 837
02/10/2015, 11:35:54, 837
02/10/2015, 11:35:56, 838
02/10/2015, 11:35:58, 838
02/10/2015, 11:35:59, 838
02/10/2015, 11:36:01, 838
02/10/2015, 11:36:03, 838
02/10/2015, 11:36:05, 838
02/10/2015, 11:36:06, 838
02/10/2015, 11:36:08, 838
02/10/2015, 11:36:10, 838
02/10/2015, 11:36:12, 838
02/10/2015, 11:36:13, 838
02/10/2015, 11:36:15, 838
02/10/2015, 11:36:17, 838
02/10/2015, 11:36:19, 838
02/10/2015, 11:36:21, 838
02/10/2015, 11:36:22, 838
02/10/2015, 11:36:24, 838
02/10/2015, 11:36:26, 838
02/10/2015, 11:36:28, 838
02/10/2015, 11:36:29, 838
02/10/2015, 11:36:31, 838
02/10/2015, 11:36:33, 838
02/10/2015, 11:36:35, 838
02/10/2015, 11:36:36, 837
02/10/2015, 11:36:38, 838
02/10/2015, 11:36:40, 837
02/10/2015, 11:36:42, 838
02/10/2015, 11:36:43, 838
02/10/2015, 11:36:45, 838
02/10/2015, 11:36:47, 838
02/10/2015, 11:36:49, 838
02/10/2015, 11:36:51, 838
02/10/2015, 11:36:52, 838
02/10/2015, 11:36:54, 837
02/10/2015, 11:36:56, 837
02/10/2015, 11:36:58, 837
02/10/2015, 11:36:59, 837
02/10/2015, 11:37:01, 838
02/10/2015, 11:37:03, 838
02/10/2015, 11:37:05, 838
02/10/2015, 11:37:06, 838
02/10/2015, 11:37:08, 838
02/10/2015, 11:37:10, 838
02/10/2015, 11:37:12, 837
02/10/2015, 11:37:14, 837
02/10/2015, 11:37:15, 837
02/10/2015, 11:37:17, 838
02/10/2015, 11:37:19, 838
02/10/2015, 11:37:21, 839
02/10/2015, 11:37:22, 838
02/10/2015, 11:37:24, 839
02/10/2015, 11:37:26, 838
02/10/2015, 11:37:28, 838
02/10/2015, 11:37:29, 838
02/10/2015, 11:37:31, 838
02/10/2015, 11:37:33, 837
02/10/2015, 11:37:35, 838
02/10/2015, 11:37:36, 837
02/10/2015, 11:37:38, 837
